wavenumber,transmittance
3999.6396,100.462151
3997.7112,100.335876
3995.7827,100.483002
3993.8542,100.475319
3991.9258,99.888123
3989.9973,100.144142
3988.0688,100.520279
3986.1404,100.388390
3984.2119,100.287468
3982.2834,100.229050
3980.3550,100.242126
3978.4265,100.119751
3976.4981,100.085541
3974.5696,100.378197
3972.6411,100.363777
3970.7127,100.027573
3968.7842,100.098953
3966.8557,100.388931
3964.9273,100.402962
3962.9988,100.271004
3961.0703,100.017502
3959.1419,100.083076
3957.2134,100.335556
3955.2849,100.311508
3953.3565,100.276016
3951.4280,100.480782
3949.4995,100.377785
3947.5711,100.106956
3945.6426,100.036011
3943.7141,100.114388
3941.7857,99.810555
3939.8572,99.661835
3937.9287,99.644020
3936.0003,99.937515
3934.0718,100.298233
3932.1433,100.371140
3930.2149,100.141960
3928.2864,100.392899
3926.3579,100.480110
3924.4295,100.716545
3922.5010,100.634979
3920.5725,100.226959
3918.6441,100.171387
3916.7156,100.326965
3914.7871,100.187630
3912.8587,100.228813
3910.9302,100.361862
3909.0017,100.331818
3907.0733,100.229271
3905.1448,99.991562
3903.2163,100.006630
3901.2879,100.401070
3899.3594,100.360054
3897.4309,100.075836
3895.5025,100.119202
3893.5740,100.359550
3891.6455,100.335312
3889.7171,99.989525
3887.7886,100.037224
3885.8601,100.374992
3883.9317,100.161682
3882.0032,99.998390
3880.0747,100.278786
3878.1463,100.647156
3876.2178,100.727402
3874.2893,100.572556
3872.3609,100.332825
3870.4324,100.236038
3868.5039,100.551628
3866.5755,100.667160
3864.6470,100.578926
3862.7185,100.744965
3860.7901,100.794418
3858.8616,100.431549
3856.9331,100.599373
3855.0047,100.580055
3853.0762,100.088226
3851.1477,99.710526
3849.2193,100.161804
3847.2908,100.271034
3845.3623,100.244560
3843.4339,100.160049
3841.5054,99.674332
3839.5769,99.716286
3837.6485,100.195274
3835.7200,100.126190
3833.7915,99.852432
3831.8631,99.697350
3829.9346,99.823593
3828.0061,100.049377
3826.0777,100.301544
