cm-1,%T
4000,99.62
3999,99.62
3998,99.62
3997,99.62
3996,99.63
3995,99.63
3994,99.63
3993,99.63
3992,99.63
3991,99.63
3990,99.62
3989,99.62
3988,99.62
3987,99.62
3986,99.62
3985,99.62
3984,99.62
3983,99.62
3982,99.62
3981,99.62
3980,99.62
3979,99.61
3978,99.61
3977,99.61
3976,99.61
3975,99.61
3974,99.61
3973,99.61
3972,99.61
3971,99.62
3970,99.62
3969,99.62
3968,99.62
3967,99.62
3966,99.63
3965,99.63
3964,99.64
3963,99.64
3962,99.65
3961,99.65
3960,99.65
3959,99.64
3958,99.64
3957,99.64
3956,99.64
3955,99.64
3954,99.64
3953,99.63
3952,99.63
3951,99.64
3950,99.65
3949,99.66
3948,99.67
3947,99.67
3946,99.67
3945,99.67
3944,99.67
3943,99.66
3942,99.66
3941,99.65
3940,99.65
3939,99.65
3938,99.64
3937,99.64
3936,99.64
3935,99.64
3934,99.65
3933,99.65
3932,99.65
3931,99.65
3930,99.65
3929,99.65
3928,99.65
3927,99.65
3926,99.65
3925,99.65
3924,99.65
3923,99.65
3922,99.65
3921,99.65
3920,99.65
3919,99.65
3918,99.65
3917,99.65
3916,99.64
3915,99.64
3914,99.63
3913,99.63
3912,99.63
3911,99.63
3910,99.63
3909,99.64
3908,99.64
3907,99.64
3906,99.65
3905,99.66
3904,99.67
3903,99.68
3902,99.7
3901,99.7
3900,99.69
3899,99.69
3898,99.68
3897,99.67
3896,99.67
3895,99.66
3894,99.66
3893,99.65
3892,99.65
3891,99.66
3890,99.66
3889,99.67
3888,99.67
3887,99.67
3886,99.67
3885,99.66
3884,99.66
3883,99.66
3882,99.67
3881,99.67
3880,99.66
3879,99.66
3878,99.66
3877,99.66
3876,99.66
3875,99.65
3874,99.65
3873,99.66
3872,99.67
3871,99.69
3870,99.7
3869,99.7
3868,99.69
3867,99.69
3866,99.69
3865,99.69
3864,99.68
3863,99.68
3862,99.68
3861,99.69
3860,99.69
3859,99.68
3858,99.67
3857,99.67
3856,99.67
3855,99.67
3854,99.68
3853,99.69
3852,99.7
3851,99.7
3850,99.7
3849,99.7
3848,99.7
3847,99.69
3846,99.69
3845,99.68
3844,99.68
3843,99.67
3842,99.67
3841,99.68
3840,99.68
3839,99.69
3838,99.7
3837,99.7
3836,99.69
3835,99.69
3834,99.69
3833,99.69
3832,99.69
3831,99.69
3830,99.69
3829,99.69
3828,99.68
3827,99.68
3826,99.67
3825,99.67
3824,99.67
3823,99.68
3822,99.68
3821,99.68
3820,99.67
3819,99.67
3818,99.67
3817,99.68
3816,99.69
3815,99.69
3814,99.68
3813,99.68
3812,99.67
3811,99.67
3810,99.67
3809,99.68
3808,99.69
3807,99.71
3806,99.71
3805,99.71
3804,99.71
3803,99.71
3802,99.71
3801,99.71
3800,99.7
3799,99.7
3798,99.69
3797,99.69
3796,99.7
3795,99.7
3794,99.7
3793,99.7
3792,99.69
3791,99.69
3790,99.69
3789,99.68
3788,99.68
3787,99.68
3786,99.68
3785,99.67
3784,99.67
3783,99.68
3782,99.68
3781,99.69
3780,99.69
3779,99.69
3778,99.69
3777,99.69
3776,99.69
3775,99.69
3774,99.69
3773,99.69
3772,99.7
3771,99.71
3770,99.71
3769,99.72
3768,99.71
3767,99.71
3766,99.71
3765,99.71
3764,99.71
3763,99.71
3762,99.72
3761,99.72
3760,99.72
3759,99.71
3758,99.71
3757,99.72
3756,99.73
3755,99.73
3754,99.74
3753,99.75
3752,99.75
3751,99.76
3750,99.78
3749,99.79
3748,99.79
3747,99.78
3746,99.77
3745,99.77
3744,99.76
3743,99.76
3742,99.76
3741,99.77
3740,99.77
3739,99.78
3738,99.79
3737,99.79
3736,99.79
3735,99.78
3734,99.79
3733,99.79
3732,99.8
3731,99.8
3730,99.79
3729,99.78
3728,99.78
3727,99.78
3726,99.77
3725,99.76
3724,99.75
3723,99.75
3722,99.74
3721,99.74
3720,99.74
3719,99.74
3718,99.73
3717,99.73
3716,99.73
3715,99.73
3714,99.73
3713,99.74
3712,99.74
3711,99.73
3710,99.73
3709,99.73
3708,99.73
3707,99.74
3706,99.74
3705,99.74
3704,99.74
3703,99.73
3702,99.73
3701,99.72
3700,99.72
3699,99.71
3698,99.71
3697,99.71
3696,99.71
3695,99.71
3694,99.71
3693,99.7
3692,99.69
3691,99.68
3690,99.69
3689,99.7
3688,99.72
3687,99.72
3686,99.72
3685,99.72
3684,99.71
3683,99.71
3682,99.71
3681,99.71
3680,99.7
3679,99.69
3678,99.69
3677,99.7
3676,99.7
3675,99.71
3674,99.71
3673,99.72
3672,99.72
3671,99.72
3670,99.72
3669,99.71
3668,99.71
3667,99.7
3666,99.7
3665,99.69
3664,99.68
3663,99.68
3662,99.68
3661,99.69
3660,99.69
3659,99.7
3658,99.7
3657,99.7
3656,99.69
3655,99.69
3654,99.69
3653,99.69
3652,99.7
3651,99.7
3650,99.71
3649,99.72
3648,99.72
3647,99.71
3646,99.7
3645,99.69
3644,99.69
3643,99.68
3642,99.68
