wavenumber,transmittance
4000.0000,0.001208
3997.4199,0.000510
3994.8397,-0.000178
3992.2596,-0.000828
3989.6794,-0.001451
3987.0993,-0.002046
3984.5192,-0.002614
3981.9390,-0.003154
3979.3589,-0.003666
3976.7787,-0.004151
3974.1986,-0.004609
3971.6185,-0.005039
3969.0383,-0.005443
3966.4582,-0.005819
3963.8780,-0.006169
3961.2979,-0.006491
3958.7177,-0.006787
3956.1376,-0.007056
3953.5575,-0.007298
3950.9773,-0.007514
3948.3972,-0.007703
3945.8170,-0.007865
3943.2369,-0.008001
3940.6568,-0.008110
3938.0766,-0.008192
3935.4965,-0.008248
3932.9163,-0.008278
3930.3362,-0.008281
3927.7561,-0.008257
3925.1759,-0.008207
3922.5958,-0.008131
3920.0156,-0.008028
3917.4355,-0.007898
3914.8554,-0.007742
3912.2752,-0.007559
3909.6951,-0.007350
3907.1149,-0.007114
3904.5348,-0.006851
3901.9547,-0.006561
3899.3745,-0.006245
3896.7944,-0.005901
3894.2142,-0.005531
3891.6341,-0.005134
3889.0539,-0.004709
3886.4738,-0.004258
3883.8937,-0.003779
3881.3135,-0.003273
3878.7334,-0.002739
3876.1532,-0.002178
3873.5731,-0.001589
3870.9930,-0.000973
3868.4128,-0.000328
3865.8327,0.000344
3863.2525,0.001045
3860.6724,0.001776
3858.0923,0.002573
3855.5121,0.003235
3852.9320,0.003501
3850.3518,0.003160
3847.7717,0.002465
3845.1916,0.001686
3842.6114,0.001009
3840.0313,0.000382
3837.4511,-0.000194
3834.8710,-0.000719
3832.2909,-0.001194
3829.7107,-0.001618
3827.1306,-0.001992
3824.5504,-0.002316
3821.9703,-0.002590
3819.3901,-0.002814
3816.8100,-0.002988
3814.2299,-0.003112
3811.6497,-0.003187
3809.0696,-0.003212
3806.4894,-0.003187
3803.9093,-0.003113
3801.3292,-0.002989
3798.7490,-0.002815
3796.1689,-0.002591
3793.5887,-0.002317
3791.0086,-0.001994
3788.4285,-0.001620
3785.8483,-0.001196
3783.2682,-0.000722
3780.6880,-0.000197
3778.1079,0.000378
3775.5278,0.001005
3772.9476,0.001749
3770.3675,0.002284
3767.7873,0.002480
3765.2072,0.002506
3762.6271,0.002033
3760.0469,0.002012
3757.4668,0.002689
3754.8866,0.003385
3752.3065,0.002837
3749.7263,0.001536
3747.1462,0.000762
3744.5661,0.001147
3741.9859,0.002614
3739.4058,0.003915
3736.8256,0.003572
3734.2455,0.002503
3731.6654,0.001804
3729.0852,0.002178
3726.5051,0.002314
3723.9249,0.002574
3721.3448,0.004019
3718.7647,0.003091
3716.1845,0.002305
3713.6044,0.002248
3711.0242,0.005505
3708.4441,0.006486
3705.8640,0.005557
3703.2838,0.004174
3700.7037,0.003951
3698.1235,0.004570
3695.5434,0.004684
3692.9633,0.005336
3690.3831,0.005503
3687.8030,0.005256
3685.2228,0.005266
3682.6427,0.005133
3680.0625,0.004576
3677.4824,0.004319
3674.9023,0.004594
3672.3221,0.004841
3669.7420,0.005366
3667.1618,0.005835
3664.5817,0.005930
3662.0016,0.006487
3659.4214,0.006029
3656.8413,0.005179
3654.2611,0.004939
3651.6810,0.009214
3649.1009,0.012266
3646.5207,0.014323
3643.9406,0.011767
3641.3604,0.011038
3638.7803,0.011579
3636.2002,0.014183
3633.6200,0.014417
3631.0399,0.015744
3628.4597,0.017545
3625.8796,0.017459
3623.2995,0.015880
3620.7193,0.016462
3618.1392,0.019209
3615.5590,0.021386
3612.9789,0.022079
3610.3987,0.022424
3607.8186,0.023333
3605.2385,0.025529
3602.6583,0.026244
3600.0782,0.026286
3597.4980,0.028234
3594.9179,0.032208
3592.3378,0.033864
3589.7576,0.032824
3587.1775,0.032473
3584.5973,0.033495
3582.0172,0.035387
3579.4371,0.038633
3576.8569,0.041798
3574.2768,0.042626
3571.6966,0.042557
3569.1165,0.043746
3566.5364,0.045577
3563.9562,0.048019
3561.3761,0.049591
3558.7959,0.050760
3556.2158,0.050010
3553.6357,0.051752
3551.0555,0.054320
3548.4754,0.055999
3545.8952,0.056825
3543.3151,0.061077
3540.7349,0.063707
3538.1548,0.063599
3535.5747,0.065460
3532.9945,0.069973
3530.4144,0.071490
3527.8342,0.073331
3525.2541,0.076792
3522.6740,0.078522
3520.0938,0.079680
3517.5137,0.082599
3514.9335,0.084057
3512.3534,0.083495
3509.7733,0.085037
3507.1931,0.089209
3504.6130,0.093572
3502.0328,0.095133
3499.4527,0.096175
3496.8726,0.098682
3494.2924,0.101304
3491.7123,0.102316
3489.1321,0.103113
