wavenumber,transmittance
4000.1221,99.737106
3999.6400,99.739014
3999.1578,99.740524
3998.6757,99.740166
3998.1936,99.738396
3997.7115,99.735802
3997.2294,99.733093
3996.7473,99.730698
3996.2651,99.728638
3995.7830,99.726768
3995.3009,99.725014
3994.8188,99.723450
3994.3367,99.722214
3993.8546,99.720795
3993.3724,99.719742
3992.8903,99.719078
3992.4082,99.718765
3991.9261,99.718750
3991.4440,99.718956
3990.9619,99.719292
3990.4797,99.719681
3989.9976,99.720062
3989.5155,99.720383
3989.0334,99.720604
3988.5513,99.720703
3988.0692,99.720718
3987.5870,99.720680
3987.1049,99.720673
3986.6228,99.720779
3986.1407,99.721069
3985.6586,99.721573
3985.1765,99.722313
3984.6943,99.723236
3984.2122,99.724281
3983.7301,99.725380
3983.2480,99.726463
3982.7659,99.727509
3982.2838,99.728508
3981.8016,99.729469
3981.3195,99.730423
3980.8374,99.731415
3980.3553,99.732445
3979.8732,99.733528
3979.3911,99.734627
3978.9089,99.735718
3978.4268,99.736771
3977.9447,99.737747
3977.4626,99.738647
3976.9805,99.739464
3976.4984,99.740219
3976.0162,99.740929
3975.5341,99.741631
3975.0520,99.742348
3974.5699,99.743103
3974.0878,99.743927
3973.6057,99.744843
3973.1235,99.745857
3972.6414,99.746964
3972.1593,99.748146
3971.6772,99.749382
3971.1951,99.750610
3970.7130,99.751770
3970.2308,99.752815
3969.7487,99.753685
3969.2666,99.754318
3968.7845,99.754677
3968.3024,99.754753
3967.8203,99.754532
3967.3381,99.754044
3966.8560,99.753357
3966.3739,99.752541
3965.8918,99.751709
3965.4097,99.750954
3964.9276,99.750389
3964.4454,99.750099
3963.9633,99.750168
3963.4812,99.750648
3962.9991,99.751595
3962.5170,99.753006
3962.0349,99.754868
3961.5527,99.757133
3961.0706,99.759697
3960.5885,99.762436
3960.1064,99.765167
3959.6243,99.767738
3959.1422,99.769981
3958.6600,99.771767
3958.1779,99.773026
3957.6958,99.773720
3957.2137,99.773880
3956.7316,99.773575
3956.2495,99.772919
3955.7673,99.772049
3955.2852,99.771118
3954.8031,99.770279
3954.3210,99.769661
3953.8389,99.769371
3953.3568,99.769463
3952.8746,99.769951
3952.3925,99.770805
3951.9104,99.771950
3951.4283,99.773315
3950.9462,99.774818
3950.4641,99.776405
3949.9819,99.778023
3949.4998,99.779610
3949.0177,99.781097
3948.5356,99.782372
3948.0535,99.783333
3947.5714,99.783867
3947.0892,99.783913
3946.6071,99.783463
3946.1250,99.782547
3945.6429,99.781273
3945.1608,99.779716
3944.6787,99.777969
3944.1965,99.776100
3943.7144,99.774155
3943.2323,99.772171
3942.7502,99.770203
3942.2681,99.768295
3941.7860,99.766518
3941.3038,99.764946
3940.8217,99.763634
3940.3396,99.762604
3939.8575,99.761887
3939.3754,99.761459
3938.8933,99.761299
3938.4111,99.761368
3937.9290,99.761604
3937.4469,99.761963
3936.9648,99.762405
3936.4827,99.762901
3936.0006,99.763443
3935.5184,99.764091
3935.0363,99.764931
3934.5542,99.766090
3934.0721,99.767723
3933.5900,99.769951
3933.1079,99.772850
3932.6257,99.776405
3932.1436,99.780502
3931.6615,99.784958
3931.1794,99.789482
3930.6973,99.793777
3930.2152,99.797516
3929.7330,99.800461
3929.2509,99.802422
3928.7688,99.803322
3928.2867,99.803162
3927.8046,99.802010
3927.3225,99.799942
3926.8403,99.797066
3926.3582,99.793465
3925.8761,99.789268
3925.3940,99.784592
3924.9119,99.779610
3924.4298,99.774521
3923.9476,99.769608
3923.4655,99.765198
3922.9834,99.761612
3922.5013,99.759163
3922.0192,99.758057
3921.5371,99.758362
3921.0549,99.759987
3920.5728,99.762703
3920.0907,99.766159
3919.6086,99.769981
3919.1265,99.773796
3918.6444,99.777336
3918.1622,99.780449
3917.6801,99.783119
3917.1980,99.785408
3916.7159,99.787407
3916.2338,99.789200
3915.7517,99.790825
3915.2695,99.792259
3914.7874,99.793442
3914.3053,99.794289
3913.8232,99.794685
3913.3411,99.794579
3912.8590,99.793938
3912.3768,99.792801
3911.8947,99.791252
3911.4126,99.789436
3910.9305,99.787514
3910.4484,99.785667
3909.9663,99.784065
3909.4841,99.782852
3909.0020,99.782127
3908.5199,99.781967
3908.0378,99.782433
3907.5557,99.783531
3907.0736,99.785309
3906.5914,99.787773
3906.1093,99.790924
3905.6272,99.794701
3905.1451,99.798996
3904.6630,99.803627
3904.1809,99.808357
3903.6987,99.812920
3903.2166,99.817055
3902.7345,99.820549
3902.2524,99.823227
3901.7703,99.824997
3901.2882,99.825821
3900.8060,99.825737
3900.3239,99.824821
3899.8418,99.823181
3899.3597,99.820961
3898.8776,99.818283
3898.3955,99.815285
3897.9133,99.812103
3897.4312,99.808853
3896.9491,99.805687
3896.4670,99.802765
3895.9849,99.800240
3895.5028,99.798264
3895.0206,99.796936
3894.5385,99.796249
3894.0564,99.796150
3893.5743,99.796547
3893.0922,99.797348
3892.6101,99.798485
3892.1279,99.799927
3891.6458,99.801682
3891.1637,99.803757
3890.6816,99.806160
3890.1995,99.808914
3889.7174,99.811989
3889.2352,99.815292
3888.7531,99.818672
3888.2710,99.821953
3887.7889,99.824982
3887.3068,99.827629
3886.8247,99.829842
3886.3425,99.831566
3885.8604,99.832817
3885.3783,99.833626
3884.8962,99.834045
3884.4141,99.834106
3883.9320,99.833847
3883.4498,99.833267
3882.9677,99.832397
3882.4856,99.831276
3882.0035,99.830009
3881.5214,99.828728
3881.0393,99.827568
3880.5571,99.826630
3880.0750,99.825981
3879.5929,99.825645
3879.1108,99.825623
3878.6287,99.825874
3878.1466,99.826363
3877.6644,99.827057
3877.1823,99.827942
3876.7002,99.829033
3876.2181,99.830322
3875.7360,99.831734
3875.2539,99.833092
3874.7717,99.834152
3874.2896,99.834694
3873.8075,99.834549
3873.3254,99.833664
3872.8433,99.832092
3872.3612,99.829979
3871.8790,99.827545
3871.3969,99.825081
3870.9148,99.822922
3870.4327,99.821350
3869.9506,99.820595
3869.4685,99.820801
3868.9863,99.821960
3868.5042,99.823952
3868.0221,99.826576
3867.5400,99.829628
3867.0579,99.832924
3866.5758,99.836334
3866.0936,99.839813
3865.6115,99.843300
3865.1294,99.846779
3864.6473,99.850174
3864.1652,99.853386
3863.6831,99.856293
3863.2009,99.858833
3862.7188,99.861000
3862.2367,99.862823
3861.7546,99.864380
3861.2725,99.865753
3860.7904,99.867088
3860.3082,99.868546
3859.8261,99.870293
3859.3440,99.872398
3858.8619,99.874847
3858.3798,99.877502
3857.8977,99.880165
3857.4155,99.882553
3856.9334,99.884338
3856.4513,99.885201
3855.9692,99.884911
3855.4871,99.883354
3855.0050,99.880569
3854.5228,99.876732
3854.0407,99.872108
3853.5586,99.867020
3853.0765,99.861832
3852.5944,99.856873
3852.1123,99.852455
3851.6301,99.848831
3851.1480,99.846214
3850.6659,99.844727
3850.1838,99.844444
3849.7017,99.845406
3849.2196,99.847557
3848.7374,99.850822
3848.2553,99.855003
3847.7732,99.859863
3847.2911,99.865112
3846.8090,99.870468
3846.3269,99.875687
3845.8447,99.880501
3845.3626,99.884735
3844.8805,99.888283
3844.3984,99.891167
3843.9163,99.893532
3843.4342,99.895561
3842.9520,99.897415
3842.4699,99.899170
3841.9878,99.900810
3841.5057,99.902184
3841.0236,99.903114
3840.5415,99.903419
3840.0593,99.902969
3839.5772,99.901711
3839.0951,99.899673
3838.6130,99.896980
